pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type
2016,2,1,0,6.53,40.76470184,1,40.69292831,1,22.5,0.5,4.76,0.5,0,-73.98504639
2016,7,17,0,1.1,141,170,5,0.5,0.5,0,0.3,1.25,7.55,1
2016,9,4,0,5.7,88,229,17,0.5,0.5,0,0.3,2.75,21.05,1
2016,2,1,0,2.15,40.73241806,1,40.74486923,1,9.5,0.5,2.16,0.5,0,-73.98078156
2016,11,1,0,0.55,140,140,4,0.5,0.5,0,0.3,1.32,6.62,1
2016,2,19,0,5.75,40.71955109,1,40.74557877,1,20.5,0.5,5.45,0.5,0,-73.95308685
2016,2,1,0,12.48,40.75746918,1,40.63249969,2,35,0.5,0,0.5,0,-74.02433777
2016,1,1,0,2.67,40.73115158,1,40.74871063,1,12.5,0.5,1.1,0.5,0,-73.973526
2016,11,1,0,5.1,249,262,21.5,0.5,0.5,0,0.3,4.56,27.36,1
2016,9,4,0,2.6,107,230,10,0.5,0.5,0,0.3,4,15.3,1
2016,9,4,0,4.79,79,238,17,0.5,0.5,0,0.3,0,18.3,2
2016,9,4,0,2.6,79,229,11,0.5,0.5,0,0.3,2.45,14.75,1
2016,2,19,0,1.59,40.74803925,1,40.75331879,1,7,0.5,1,0.5,0,-73.96994019
2016,2,19,0,2.02,40.747509,1,40.73870087,1,10.5,0.5,3.54,0.5,0,-73.99939728
2016,1,29,0,1,40.71389008,1,40.72399521,1,9,0.5,1,0,0,-73.99676514
2016,7,10,0,4.7,255,170,18,0,0.5,0,0.3,3.75,22.55,1
2016,1,29,0,1.43,40.74437332,1,40.75947571,1,10.5,0.5,2.26,0,0,-73.98134613
2016,11,15,0,8.77,236,255,27,0.5,0.5,0,0.3,5.66,33.96,1
2016,1,1,0,3.7,40.76317978,1,40.74137497,1,13,0.5,5.7,0.5,0,-73.92160797
2016,11,15,0,0.3,233,233,3,0.5,0.5,0,0.3,0,4.3,2
2016,2,1,0,2.14,40.73247147,1,40.75542068,2,9,0.5,0,0.5,0,-73.99166107
2016,1,1,0,1.03,40.72389221,1,40.72151566,2,6.5,0.5,0,0.5,0,-73.98368835
2016,7,17,0,2.3,68,230,9.5,0.5,0.5,0,0.3,0,10.8,2
2016,9,4,0,1.2,114,79,8,0.5,0.5,0,0.3,0,9.3,1
2016,9,4,0,3.37,79,209,13.5,0.5,0.5,0,0.3,0,14.8,1
2016,1,29,0,1.3,40.77143478,1,40.75920105,2,8.5,0.5,0,0,0,-73.97023773
