Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,231703120,2972.633527164472,3193434,40.970138749909566,286460,4746620,60.896727470521014,54174,0.6950249470124028,5290,
United States of America,Americas,42568842,12860.57,737335,222.76,0,681502,205.89,12090,3.65,0
India,South-East Asia,33678786,2440.48,200367,14.52,26041,447194,32.41,2061,0.15,276
Brazil,Americas,21343304,10041.1,112979,53.15,15688,594200,279.55,3692,1.74,537
The United Kingdom,Europe,7664234,11289.86,234484,345.41,32997,136168,200.58,965,1.42,63
Russian Federation,Europe,7443149,5100.34,148477,101.74,22236,204679,140.25,5683,3.89,779
Turkey,Europe,7039500,8346.67,192241,227.94,25861,63166,74.9,1592,1.89,228
France,Europe,6781628,10426.96,35408,54.44,4714,114545,176.12,620,0.95,314
Iran (Islamic Republic of),Eastern Mediterranean,5533520,6588.08,108685,129.4,13792,119360,142.11,2178,2.59,288
Argentina,Americas,5250402,11617.02,11792,26.09,562,114862,254.14,495,1.1,13
Colombia,Americas,4950253,9728.72,11002,21.62,1740,126102,247.83,242,0.48,34
Spain,Europe,4946601,10450.72,6210,13.12,0,86229,182.18,88,0.19,0
Italy,Europe,4660314,7813.88,24203,40.58,3099,130697,219.14,387,0.65,44
Indonesia,South-East Asia,4209403,1538.95,16708,6.11,1390,141585,51.76,951,0.35,118
Germany,Europe,4199400,5049.38,53548,64.39,3022,93403,112.31,432,0.52,10
Mexico,Americas,3628812,2814.5,64118,49.73,9697,275303,213.52,4000,3.1,600
Poland,Europe,2903655,7649.62,5356,14.11,421,75572,199.09,84,0.22,0
South Africa,Africa,2896943,4884.52,14313,24.13,967,87052,146.78,878,1.48,51
Philippines,Western Pacific,2490858,2273.07,124179,113.32,20755,37405,34.13,617,0.56,0
Ukraine,Europe,2395404,5477.24,44758,102.34,3007,55720,127.41,801,1.83,94
Malaysia,Western Pacific,2198235,6791.8,100405,310.22,13104,25437,78.59,1994,6.16,278
Peru,Americas,2172261,6588.23,5842,17.72,887,199228,604.24,252,0.76,46
Netherlands,Europe,1996474,11468.99,11653,66.94,1608,18150,104.26,36,0.21,1
